iter	Logloss
0	0.6337842975
1	0.5882434494
2	0.5572794479
3	0.5290685022
4	0.5067801991
5	0.4930107368
6	0.4783866617
7	0.467512607
8	0.4601156927
9	0.4511336408
10	0.4455269691
11	0.4407562472
12	0.4374721728
13	0.4337093912
14	0.4311038377
15	0.4280642195
16	0.4258867755
17	0.4239129357
18	0.4219092226
19	0.4198705683
20	0.4184463213
21	0.4166308961
22	0.4150517523
23	0.41421963
24	0.41245644
25	0.4116785424
26	0.4111702749
27	0.4103183894
28	0.409403044
29	0.4083227714
30	0.4076783903
31	0.4071494752
32	0.4067379349
33	0.4062997044
34	0.4059884071
35	0.4053295946
36	0.404815982
37	0.404375998
38	0.4037220655
39	0.4033102595
40	0.4028751125
41	0.4023274194
42	0.4019779422
43	0.4016077247
44	0.401167312
45	0.4010035043
46	0.4008097946
47	0.3997847036
48	0.3993438563
49	0.3989915183
50	0.3986871911
51	0.3984637453
52	0.3982667889
53	0.3980179555
54	0.3976459455
55	0.3970430382
56	0.3967593526
57	0.3964057223
58	0.3960443013
59	0.3957223008
60	0.3954158904
61	0.3950040802
62	0.394809794
63	0.3945645118
64	0.3940372966
65	0.3936211963
66	0.393416962
67	0.3931360086
68	0.3928595591
69	0.3926954014
70	0.3924932928
71	0.3923537187
72	0.3920463101
73	0.39187054
74	0.3915902841
75	0.3912932037
76	0.3910429747
77	0.3907301895
78	0.3902943425
79	0.3898775191
80	0.3896889159
81	0.38935407
82	0.3889920989
83	0.3886864405
84	0.3884801826
85	0.3881594267
86	0.3879332558
87	0.3875773535
88	0.3873161984
89	0.387149179
90	0.3868388143
91	0.3865860634
92	0.3859487594
93	0.3857415025
94	0.3856332689
95	0.3852760537
96	0.3849246103
97	0.3845918071
98	0.3843095112
99	0.3841100759
